Rows;           4
Columns;           4
Package Size;          32
FIFO depth;           4
Broadcast ID; 11111111
Terminal; Retardo Promedio
          0;           0
          1;         101
          2;          56
          3;          79
          4;         138
          5;          89
          6;         110
          7;         105
          8;          86
          9;          74
         10;         102
         11;         101
         12;         119
         13;         100
         14;         123
         15;         146
Promedio General;         106
Ancho de Banda;        5594
