Rows;           4
Columns;           4
Package Size;          32
FIFO depth;           4
Broadcast ID; 11111111
Terminal; Retardo Promedio
          0;           0
          1;         110
          2;          87
          3;         130
          4;          99
          5;         146
          6;         104
          7;          74
          8;          80
          9;          90
         10;         114
         11;         101
         12;          90
         13;         112
         14;          99
         15;         136
Promedio General;         103
Ancho de Banda;        4761
