Rows;           4
Columns;           4
Package Size;          32
FIFO depth;           4
Broadcast ID; 11111111
;Paquete; Estado; Direccion de Envio; Direccion de Recepcion; Tiempo de Envio; Tiempo de Recepcion; Latencia
          1; 0x0320dba1; 1; 0x1; 0x5; 43; 63; 20
          2; 0x03409a50; 1; 0x9; 0x7; 41; 65; 24
          3; 0x0003c7f5; 1; 0x3; 0x2; 55; 71; 16
          4; 0x00047e5c; 1; 0xd; 0x3; 53; 93; 40
          5; 0x0125d33b; 1; 0xa; 0xd; 47; 95; 48
          6; 0x0003ac12; 1; 0xc; 0x2; 77; 101; 24
          7; 0x0252f0af; 1; 0x6; 0x9; 75; 111; 36
          8; 0x000354ba; 1; 0x1; 0x2; 67; 113; 46
          9; 0x0340d547; 1; 0x5; 0x7; 39; 117; 78
         10; 0x0115b047; 1; 0xe; 0xc; 69; 121; 52
         11; 0x0115b047; 1; 0xe; 0xc; 69; 121; 52
         12; 0x01359999; 1; 0x3; 0xe; 83; 131; 48
         13; 0x01359999; 1; 0x3; 0xe; 83; 131; 48
         14; 0x0253205e; 1; 0x0; 0xa; 53; 133; 80
         15; 0x0253205e; 1; 0x0; 0xa; 53; 133; 80
         16; 0x0340a90b; 1; 0x6; 0x7; 103; 137; 34
         17; 0x0340ab99; 1; 0xd; 0x7; 47; 145; 98
         18; 0x0004c2ae; 1; 0xf; 0x3; 67; 149; 82
         19; 0x0135b5cd; 1; 0xa; 0xe; 77; 151; 74
         20; 0x0330b872; 1; 0x1; 0x6; 107; 161; 54
         21; 0x0002ec65; 1; 0x3; 0x1; 97; 163; 66
         22; 0x0254cf7c; 1; 0x1; 0xb; 83; 167; 84
         23; 0x0115160a; 1; 0xe; 0xc; 73; 173; 100
         24; 0x0115160a; 1; 0xe; 0xc; 73; 173; 100
         25; 0x0254de5d; 1; 0xc; 0xb; 101; 175; 74
         26; 0x0251dd54; 1; 0x7; 0x8; 129; 177; 48
         27; 0x0310012f; 1; 0x9; 0x4; 49; 179; 130
         28; 0x0253c1ee; 1; 0x9; 0xa; 93; 181; 88
         29; 0x03305015; 1; 0xb; 0x6; 75; 185; 110
         30; 0x03305015; 1; 0xb; 0x6; 75; 185; 110
         31; 0x0254a49a; 1; 0xa; 0xb; 91; 187; 96
         32; 0x0253417d; 1; 0xe; 0xa; 89; 189; 100
         33; 0x014519f0; 1; 0x5; 0xf; 93; 195; 102
         34; 0x03203665; 1; 0xc; 0x5; 107; 197; 90
         35; 0x03203665; 1; 0xc; 0x5; 107; 197; 90
         36; 0x01359c7d; 1; 0x4; 0xe; 73; 207; 134
         37; 0x03409254; 1; 0x2; 0x7; 75; 213; 138
         38; 0x03409254; 1; 0x2; 0x7; 75; 213; 138
         39; 0x0002b89c; 1; 0x9; 0x1; 101; 215; 114
         40; 0x03206656; 1; 0xa; 0x5; 81; 217; 136
         41; 0x014519f0; 1; 0x5; 0xf; 93; 219; 126
         42; 0x014519f0; 1; 0x5; 0xf; 93; 219; 126
         43; 0x0135728d; 1; 0x3; 0xe; 121; 231; 110
         44; 0x01458a41; 1; 0x4; 0xf; 101; 239; 138
         45; 0x03300b7b; 1; 0x7; 0x6; 181; 247; 66
         46; 0x0115d7cd; 1; 0x7; 0xc; 53; 259; 206
         47; 0x01353d83; 1; 0x4; 0xe; 135; 263; 128
         48; 0x01353d83; 1; 0x4; 0xe; 135; 263; 128
         49; 0x0330617c; 1; 0x7; 0x6; 207; 287; 80
         50; 0x01258f3a; 1; 0x7; 0xd; 185; 323; 138
