Rows;           4
Columns;           4
Package Size;          32
FIFO depth;           8
Broadcast ID; 11111111
;Paquete; Estado; Direccion de Envio; Direccion de Recepcion; Tiempo de Envio; Tiempo de Recepcion; Latencia
          1; 0x0145205e; 1; 0x0; 0xf; 117; 121; 4
          2; 0x0145205e; 1; 0x0; 0xf; 117; 121; 4
          3; 0x0145205e; 1; 0x0; 0xf; 117; 121; 4
          4; 0x0145205e; 1; 0x0; 0xf; 117; 121; 4
          5; 0x0145205e; 1; 0x0; 0xf; 117; 121; 4
          6; 0x0145205e; 1; 0x0; 0xf; 197; 199; 2
          7; 0x0145205e; 1; 0x0; 0xf; 197; 199; 2
          8; 0x0145205e; 1; 0x0; 0xf; 197; 199; 2
          9; 0x0145205e; 1; 0x0; 0xf; 197; 199; 2
         10; 0x0145205e; 1; 0x0; 0xf; 197; 199; 2
         11; 0x0145205e; 1; 0x0; 0xf; 197; 199; 2
         12; 0x0145205e; 1; 0x0; 0xf; 197; 199; 2
         13; 0x0145205e; 1; 0x0; 0xf; 197; 199; 2
         14; 0x0145205e; 1; 0x0; 0xf; 197; 199; 2
         15; 0x0145205e; 1; 0x0; 0xf; 197; 199; 2
         16; 0x0145205e; 1; 0x0; 0xf; 213; 219; 6
         17; 0x0145205e; 1; 0x0; 0xf; 213; 219; 6
         18; 0x0145205e; 1; 0x0; 0xf; 213; 219; 6
         19; 0x0145205e; 1; 0x0; 0xf; 213; 219; 6
         20; 0x0145205e; 1; 0x0; 0xf; 213; 219; 6
         21; 0x0145205e; 1; 0x0; 0xf; 213; 219; 6
         22; 0x0145205e; 1; 0x0; 0xf; 213; 219; 6
         23; 0x0145205e; 1; 0x0; 0xf; 213; 219; 6
         24; 0x0145205e; 1; 0x0; 0xf; 213; 219; 6
         25; 0x0145205e; 1; 0x0; 0xf; 213; 219; 6
         26; 0x0145205e; 1; 0x0; 0xf; 213; 219; 6
         27; 0x0145205e; 1; 0x0; 0xf; 229; 239; 10
         28; 0x0145205e; 1; 0x0; 0xf; 229; 239; 10
         29; 0x0145205e; 1; 0x0; 0xf; 229; 239; 10
