Rows;           4
Columns;           4
Package Size;          32
FIFO depth;           4
Broadcast ID; 11111111
;Paquete; Estado; Direccion de Envio; Direccion de Recepcion; Tiempo de Envio; Tiempo de Recepcion; Latencia
          1; 0x0003c7f5; 1; 0x3; 0x2; 37; 93; 56
          2; 0x0340d547; 1; 0x5; 0x7; 37; 101; 64
          3; 0x0115b047; 1; 0xe; 0xc; 37; 103; 66
          4; 0x03409a50; 1; 0x9; 0x7; 37; 109; 72
          5; 0x03409a50; 1; 0x9; 0x7; 37; 109; 72
          6; 0x0320dba1; 1; 0x1; 0x5; 37; 113; 76
          7; 0x0125d33b; 1; 0xa; 0xd; 37; 125; 88
          8; 0x0252f0af; 1; 0x6; 0x9; 37; 127; 90
          9; 0x03409254; 1; 0x2; 0x7; 37; 129; 92
         10; 0x01359999; 1; 0x3; 0xe; 77; 143; 66
         11; 0x01359999; 1; 0x3; 0xe; 77; 143; 66
         12; 0x000354ba; 1; 0x1; 0x2; 77; 145; 68
         13; 0x00028f93; 1; 0x8; 0x1; 37; 147; 110
         14; 0x0340a90b; 1; 0x6; 0x7; 77; 149; 72
         15; 0x0135b5cd; 1; 0xa; 0xe; 77; 159; 82
         16; 0x03105c04; 1; 0x5; 0x4; 77; 163; 86
         17; 0x03105c04; 1; 0x5; 0x4; 77; 163; 86
         18; 0x0253205e; 1; 0x0; 0xa; 37; 165; 128
         19; 0x03305015; 1; 0xb; 0x6; 37; 183; 146
         20; 0x0254de5d; 1; 0xc; 0xb; 77; 185; 108
         21; 0x01359c7d; 1; 0x4; 0xe; 37; 187; 150
         22; 0x0115160a; 1; 0xe; 0xc; 77; 191; 114
         23; 0x00030df3; 1; 0xd; 0x2; 117; 193; 76
         24; 0x0330262a; 1; 0x2; 0x6; 77; 195; 118
         25; 0x0251dd54; 1; 0x7; 0x8; 117; 197; 80
         26; 0x0251dd54; 1; 0x7; 0x8; 117; 197; 80
         27; 0x0253417d; 1; 0xe; 0xa; 117; 209; 92
         28; 0x0253417d; 1; 0xe; 0xa; 117; 209; 92
         29; 0x0254a49a; 1; 0xa; 0xb; 157; 221; 64
         30; 0x01353d83; 1; 0x4; 0xe; 117; 231; 114
         31; 0x01353d83; 1; 0x4; 0xe; 117; 231; 114
         32; 0x0254a49a; 1; 0xa; 0xb; 157; 241; 84
         33; 0x0254a49a; 1; 0xa; 0xb; 157; 241; 84
         34; 0x00044687; 1; 0x9; 0x3; 117; 247; 130
         35; 0x0330b872; 1; 0x1; 0x6; 157; 251; 94
         36; 0x00038086; 1; 0x5; 0x2; 117; 259; 142
         37; 0x01458a41; 1; 0x4; 0xf; 77; 261; 184
         38; 0x03203665; 1; 0xc; 0x5; 117; 265; 148
         39; 0x014519f0; 1; 0x5; 0xf; 157; 269; 112
         40; 0x014519f0; 1; 0x5; 0xf; 157; 269; 112
         41; 0x03300b7b; 1; 0x7; 0x6; 197; 279; 82
         42; 0x0310a4ef; 1; 0x7; 0x4; 157; 283; 126
         43; 0x0254cf7c; 1; 0x1; 0xb; 117; 285; 168
         44; 0x00034fb2; 1; 0x5; 0x2; 197; 291; 94
         45; 0x03206656; 1; 0xa; 0x5; 117; 297; 180
         46; 0x03206656; 1; 0xa; 0x5; 117; 297; 180
         47; 0x0135728d; 1; 0x3; 0xe; 197; 299; 102
         48; 0x0253ffa6; 1; 0x3; 0xa; 157; 303; 146
         49; 0x0330617c; 1; 0x7; 0x6; 277; 357; 80
         50; 0x01258f3a; 1; 0x7; 0xd; 237; 373; 136
