Rows;           4
Columns;           4
Package Size;          32
FIFO depth;           4
Broadcast ID; 11111111
;Paquete; Estado; Direccion de Envio; Direccion de Recepcion; Tiempo de Envio; Tiempo de Recepcion; Latencia
          1; 0x0003c7f5; 1; 0x3; 0x2; 39; 55; 16
          2; 0x0340d547; 1; 0x5; 0x7; 39; 69; 30
          3; 0x0003ac12; 1; 0xc; 0x2; 39; 71; 32
          4; 0x03409254; 1; 0x2; 0x7; 39; 77; 38
          5; 0x0125d33b; 1; 0xa; 0xd; 39; 97; 58
          6; 0x01359999; 1; 0x3; 0xe; 41; 99; 58
          7; 0x0340ab99; 1; 0xd; 0x7; 39; 109; 70
          8; 0x0253205e; 1; 0x0; 0xa; 39; 117; 78
          9; 0x01359c7d; 1; 0x4; 0xe; 39; 133; 94
         10; 0x0115d7cd; 1; 0x7; 0xc; 39; 149; 110
